Group	Diet
5052.8w.F	8wFB
4926.8w.F	8wFC
4926.8w.L	8wLC
4926.8w.S	8wSC
4955.8w.F	8wFC
4955.8w.L	8wLC
4955.8w.S	8wSC
4970.8w.F	8wFC
4970.8w.L	8wLC
4970.8w.S	8wSC
5013.8w.F	8wFC
5019.8w.F	8wFC
5025.8w.F	8wFC
5028.8w.F	8wFC
5035.8w.F	8wFC
5038.8w.F	8wFC
5042.8w.F	8wFC
5047.8w.F	8wFC
5051.8w.F	8wFC
5054.8w.F	8wFC
5017.1yr.F	adultF
5017.1yr.L1	adultL
5017.1yr.L2	adultL
5017.1yr.L3	adultL
5017.1yr.S1	adultS
5017.1yr.S2	adultS
5017.1yr.S3	adultS
5020.1yr.F	adultF
5026.1yr.F	adultF
5031.1yr.F	adultF
5031.1yr.L1	adultL
5031.1yr.L2	adultL
5031.1yr.L3	adultL
5031.1yr.S1	adultS
5031.1yr.S2	adultS
5031.1yr.S3	adultS
5037.1yr.F	adultF
5041.1yr.F	adultF
5045.1yr.F	adultF
5045.1yr.L1	adultL
5045.1yr.L2	adultL
5045.1yr.L3	adultL
5045.1yr.S1	adultS
5045.1yr.S2	adultS
5045.1yr.S3	adultS
5046.1yr.F	adultF
5049.1yr.F	adultF
5053.1yr.F	adultF
5053.1yr.L1	adultL
5053.1yr.L2	adultL
5053.1yr.L3	adultL
5053.1yr.S1	adultS
5053.1yr.S2	adultS
5053.1yr.S3	adultS
5058.1yr.F	adultF
5063.1yr.F	adultF
5015.1yr.F	adultF
5022.1yr.F	adultF
5022.1yr.L1	adultL
5022.1yr.L2	adultL
5022.1yr.L3	adultL
5022.1yr.S1	adultS
5022.1yr.S2	adultS
5022.1yr.S3	adultS
5027.1yr.F	adultF
5032.1yr.F	adultF
5034.1yr.F	adultF
5034.1yr.L1	adultL
5034.1yr.L2	adultL
5034.1yr.L3	adultL
5034.1yr.S1	adultS
5034.1yr.S2	adultS
5034.1yr.S3	adultS
5039.1yr.F	adultF
5044.1yr.F	adultF
5048.1yr.F	adultF
5048.1yr.L1	adultL
5048.1yr.L2	adultL
5048.1yr.L3	adultL
5048.1yr.S1	adultS
5048.1yr.S2	adultS
5048.1yr.S3	adultS
5050.1yr.F	adultF
5052.1yr.F	adultF
5052.1yr.L1	adultL
5052.1yr.L2	adultL
5052.1yr.L3	adultL
5052.1yr.S1	adultS
5052.1yr.S2	adultS
5052.1yr.S3	adultS
5057.1yr.F	adultF
5062.1yr.F	adultF
5013.1yr.F	adultF
5019.1yr.F	adultF
5019.1yr.L1	adultL
5019.1yr.L2	adultL
5019.1yr.L3	adultL
5019.1yr.S1	adultS
5019.1yr.S2	adultS
5019.1yr.S3	adultS
5025.1yr.F	adultF
5028.1yr.F	adultF
5035.1yr.F	adultF
5035.1yr.L1	adultL
5035.1yr.L2	adultL
5035.1yr.L3	adultL
5035.1yr.S1	adultS
5035.1yr.S2	adultS
5035.1yr.S3	adultS
5038.1yr.F	adultF
5042.1yr.F	adultF
5047.1yr.F	adultF
5047.1yr.L1	adultL
5047.1yr.L2	adultL
5047.1yr.L3	adultL
5047.1yr.S1	adultS
5047.1yr.S2	adultS
5047.1yr.S3	adultS
5051.1yr.F	adultF
5054.1yr.F	adultF
5054.1yr.L1	adultL
5054.1yr.L2	adultL
5054.1yr.L3	adultL
5054.1yr.S1	adultS
5054.1yr.S2	adultS
5054.1yr.S3	adultS
5055.1yr.F	adultF
5059.1yr.F	adultF
5017.2yr.F	adultF
5017.2yr.L1	adultL
5017.2yr.L2	adultL
5017.2yr.L3	adultL
5017.2yr.S1	adultS
5017.2yr.S2	adultS
5017.2yr.S3	adultS
5020.2yr.F	adultF
5026.2yr.F	adultF
5031.2yr.F	adultF
5031.2yr.L1	adultL
5031.2yr.L2	adultL
5031.2yr.L3	adultL
5031.2yr.S1	adultS
5031.2yr.S2	adultS
5031.2yr.S3	adultS
5037.2yr.F	adultF
5041.2yr.F	adultF
5045.2yr.F	adultF
5045.2yr.L1	adultL
5045.2yr.L2	adultL
5045.2yr.L3	adultL
5045.2yr.S1	adultS
5045.2yr.S2	adultS
5045.2yr.S3	adultS
5046.2yr.F	adultF
5049.2yr.F	adultF
5053.2yr.F	adultF
5053.2yr.L1	adultL
5053.2yr.L2	adultL
5053.2yr.L3	adultL
5053.2yr.S1	adultS
5053.2yr.S2	adultS
5053.2yr.S3	adultS
5058.2yr.F	adultF
5063.2yr.F	adultF
5015.2yr.F	adultF
5022.2yr.F	adultF
5022.2yr.L1	adultL
5022.2yr.L2	adultL
5022.2yr.L3	adultL
5022.2yr.S1	adultS
5022.2yr.S2	adultS
5022.2yr.S3	adultS
5027.2yr.F	adultF
5032.2yr.F	adultF
5034.2yr.F	adultF
5034.2yr.L1	adultL
5034.2yr.L2	adultL
5034.2yr.L3	adultL
5034.2yr.S1	adultS
5034.2yr.S2	adultS
5034.2yr.S3	adultS
5039.2yr.F	adultF
5044.2yr.F	adultF
5048.2yr.F	adultF
5048.2yr.L1	adultL
5048.2yr.L2	adultL
5048.2yr.L3	adultL
5048.2yr.S1	adultS
5048.2yr.S2	adultS
5048.2yr.S3	adultS
5050.2yr.F	adultF
5052.2yr.F	adultF
5052.2yr.L1	adultL
5052.2yr.L2	adultL
5052.2yr.L3	adultL
5052.2yr.S1	adultS
5052.2yr.S2	adultS
5052.2yr.S3	adultS
5057.2yr.F	adultF
5062.2yr.F	adultF
5019.2yr.F	adultF
5019.2yr.L1	adultL
5019.2yr.L2	adultL
5019.2yr.L3	adultL
5019.2yr.S1	adultS
5019.2yr.S2	adultS
5019.2yr.S3	adultS
5028.2yr.F	adultF
5035.2yr.F	adultF
5035.2yr.L1	adultL
5035.2yr.L2	adultL
5035.2yr.L3	adultL
5035.2yr.S1	adultS
5035.2yr.S2	adultS
5035.2yr.S3	adultS
5038.2yr.F	adultF
5042.2yr.F	adultF
5047.2yr.F	adultF
5047.2yr.L1	adultL
5047.2yr.L2	adultL
5047.2yr.L3	adultL
5047.2yr.S1	adultS
5047.2yr.S2	adultS
5047.2yr.S3	adultS
5051.2yr.F	adultF
5054.2yr.F	adultF
5054.2yr.L1	adultL
5054.2yr.L2	adultL
5054.2yr.L3	adultL
5054.2yr.S1	adultS
5054.2yr.S2	adultS
5054.2yr.S3	adultS
5059.2yr.F	adultF
